age,layer,probability,rank
22.888514851485148,Haycock,0.06328329000403743,4
22.888514851485148,pseudotachylyte,0.9698302657733493,3
22.888514851485148,andesite,0.8580814058451901,2
22.888514851485148,andesite,0.8580814058451901,2
22.888514851485148,basal layers,0.5569396945441543,1
22.888514851485148,basal layers,0.5569396945441543,1
22.888514851485148,basal layers,0.5569396945441543,1
22.888514851485148,basal layers,0.5569396945441543,1
22.888760876087606,Haycock,0.061600512007594754,4
22.888760876087606,pseudotachylyte,0.9699741504440861,3
22.888760876087606,andesite,0.8586357763047089,2
22.888760876087606,andesite,0.8586357763047089,2
22.888760876087606,basal layers,0.5573449713600719,1
22.888760876087606,basal layers,0.5573449713600719,1
22.888760876087606,basal layers,0.5573449713600719,1
22.888760876087606,basal layers,0.5573449713600719,1
22.889006900690067,Haycock,0.059954629966140635,4
22.889006900690067,pseudotachylyte,0.9701177071493549,3
22.889006900690067,andesite,0.8591893316721625,2
22.889006900690067,andesite,0.8591893316721625,2
22.889006900690067,basal layers,0.5577458705079051,1
22.889006900690067,basal layers,0.5577458705079051,1
22.889006900690067,basal layers,0.5577458705079051,1
22.889006900690067,basal layers,0.5577458705079051,1
22.889252925292528,Haycock,0.05834508331510101,4
22.889252925292528,pseudotachylyte,0.9702609357372255,3
22.889252925292528,andesite,0.8597420699098228,2
22.889252925292528,andesite,0.8597420699098228,2
22.889252925292528,basal layers,0.5581423821193738,1
22.889252925292528,basal layers,0.5581423821193738,1
22.889252925292528,basal layers,0.5581423821193738,1
22.889252925292528,basal layers,0.5581423821193738,1
22.88949894989499,Haycock,0.0567713124221849,4
22.88949894989499,pseudotachylyte,0.9704038360561021,3
22.88949894989499,andesite,0.8602939889820056,2
22.88949894989499,andesite,0.8602939889820056,2
22.88949894989499,basal layers,0.5585344964294585,1
22.88949894989499,basal layers,0.5585344964294585,1
22.88949894989499,basal layers,0.5585344964294585,1
22.88949894989499,basal layers,0.5585344964294585,1
22.889744974497447,Haycock,0.05523275885154066,4
22.889744974497447,pseudotachylyte,0.9705464079547182,3
22.889744974497447,andesite,0.8608450868550682,2
22.889744974497447,andesite,0.8608450868550682,2
22.889744974497447,basal layers,0.5589222037767901,1
22.889744974497447,basal layers,0.5589222037767901,1
22.889744974497447,basal layers,0.5589222037767901,1
22.889744974497447,basal layers,0.5589222037767901,1
22.889990999099908,Haycock,0.05372886561989847,4
22.889990999099908,pseudotachylyte,0.970688651282147,3
22.889990999099908,andesite,0.8613953614974523,2
22.889990999099908,andesite,0.8613953614974523,2
22.889990999099908,basal layers,0.5593054946040702,1
22.889990999099908,basal layers,0.5593054946040702,1
22.889990999099908,basal layers,0.5593054946040702,1
22.889990999099908,basal layers,0.5593054946040702,1
22.89023702370237,Haycock,0.052259077445068414,4
22.89023702370237,pseudotachylyte,0.9708305658877876,3
22.89023702370237,andesite,0.8619448108796491,2
22.89023702370237,andesite,0.8619448108796491,2
22.89023702370237,basal layers,0.559684359458428,1
22.89023702370237,basal layers,0.559684359458428,1
22.89023702370237,basal layers,0.559684359458428,1
22.89023702370237,basal layers,0.559684359458428,1
22.89048304830483,Haycock,0.05082284098637192,4
22.89048304830483,pseudotachylyte,0.9709721516213746,3
22.89048304830483,andesite,0.8624934329742442,2
22.89048304830483,andesite,0.8624934329742442,2
22.89048304830483,basal layers,0.5600587889918333,1
22.89048304830483,basal layers,0.5600587889918333,1
22.89048304830483,basal layers,0.5600587889918333,1
22.89048304830483,basal layers,0.5600587889918333,1
22.890729072907288,Haycock,0.04941960507738703,4
22.890729072907288,pseudotachylyte,0.9711134083329737,3
22.890729072907288,andesite,0.8630412257559129,2
22.890729072907288,andesite,0.8630412257559129,2
22.890729072907288,basal layers,0.5604287739614687,1
22.890729072907288,basal layers,0.5604287739614687,1
22.890729072907288,basal layers,0.5604287739614687,1
22.890729072907288,basal layers,0.5604287739614687,1
22.89097509750975,Haycock,0.048048820950786726,4
22.89097509750975,pseudotachylyte,0.9712543358729905,3
22.89097509750975,andesite,0.8635881872014655,2
22.89097509750975,andesite,0.8635881872014655,2
22.89097509750975,basal layers,0.560794305230132,1
22.89097509750975,basal layers,0.560794305230132,1
22.89097509750975,basal layers,0.560794305230132,1
22.89097509750975,basal layers,0.560794305230132,1
22.89122112211221,Haycock,0.0467099424556354,4
22.89122112211221,pseudotachylyte,0.9713949340921579,3
22.89122112211221,andesite,0.8641343152898109,2
22.89122112211221,andesite,0.8641343152898109,2
22.89122112211221,basal layers,0.5611553737665796,1
22.89122112211221,basal layers,0.5611553737665796,1
22.89122112211221,basal layers,0.5611553737665796,1
22.89122112211221,basal layers,0.5611553737665796,1
22.89146714671467,Haycock,0.04540242626678303,4
22.89146714671467,pseudotachylyte,0.9715352028415459,3
22.89146714671467,andesite,0.8646796080020025,2
22.89146714671467,andesite,0.8646796080020025,2
22.89146714671467,basal layers,0.5615119706459204,1
22.89146714671467,basal layers,0.5615119706459204,1
22.89146714671467,basal layers,0.5615119706459204,1
22.89146714671467,basal layers,0.5615119706459204,1
22.89171317131713,Haycock,0.04412573208673289,4
22.89171317131713,pseudotachylyte,0.971675141972556,3
22.89171317131713,andesite,0.8652240633212329,2
22.89171317131713,andesite,0.8652240633212329,2
22.89171317131713,basal layers,0.5618640870499727,1
22.89171317131713,basal layers,0.5618640870499727,1
22.89171317131713,basal layers,0.5618640870499727,1
22.89171317131713,basal layers,0.5618640870499727,1
22.89195919591959,Haycock,0.042879322839805965,4
22.89195919591959,pseudotachylyte,0.9718147513369307,3
22.89195919591959,andesite,0.8657676792328788,2
22.89195919591959,andesite,0.8657676792328788,2
22.89195919591959,basal layers,0.5622117142676482,1
22.89195919591959,basal layers,0.5622117142676482,1
22.89195919591959,basal layers,0.5622117142676482,1
22.89195919591959,basal layers,0.5622117142676482,1
22.89220522052205,Haycock,0.04166266485896079,4
22.89220522052205,pseudotachylyte,0.9719540307867414,3
22.89220522052205,andesite,0.8663104537244657,2
22.89220522052205,andesite,0.8663104537244657,2
22.89220522052205,basal layers,0.56255484369528,1
22.89220522052205,basal layers,0.56255484369528,1
22.89220522052205,basal layers,0.56255484369528,1
22.89220522052205,basal layers,0.56255484369528,1
22.892451245124512,Haycock,0.040475228064967186,4
22.892451245124512,pseudotachylyte,0.9720929801743965,3
22.892451245124512,andesite,0.8668523847857119,2
22.892451245124512,andesite,0.8668523847857119,2
22.892451245124512,basal layers,0.5628934668369995,1
22.892451245124512,basal layers,0.5628934668369995,1
22.892451245124512,basal layers,0.5628934668369995,1
22.892451245124512,basal layers,0.5628934668369995,1
22.89269726972697,Haycock,0.03931648613829923,4
22.89269726972697,pseudotachylyte,0.9722315993526384,3
22.89269726972697,andesite,0.8673934704085262,2
22.89269726972697,andesite,0.8673934704085262,2
22.89269726972697,basal layers,0.5632275753050752,1
22.89269726972697,basal layers,0.5632275753050752,1
22.89269726972697,basal layers,0.5632275753050752,1
22.89269726972697,basal layers,0.5632275753050752,1
22.89294329432943,Haycock,0.03818591668361418,4
22.89294329432943,pseudotachylyte,0.9723698881745505,3
22.89294329432943,andesite,0.8679337085870489,2
22.89294329432943,andesite,0.8679337085870489,2
22.89294329432943,basal layers,0.5635571608202797,1
22.89294329432943,basal layers,0.5635571608202797,1
22.89294329432943,basal layers,0.5635571608202797,1
22.89294329432943,basal layers,0.5635571608202797,1
22.893189318931892,Haycock,0.037083001387165825,4
22.893189318931892,pseudotachylyte,0.9725078464935467,3
